*ActiveDAQ HHS versie1.07
*Date 19-10-12 Time: 14:00:17
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     6.020     2.043     4.094
     6.030     2.035     4.095
     6.040     2.059     4.094
     6.050     2.038     4.094
     6.060     2.052     4.094
     6.070     2.050     4.094
     6.080     2.045     4.095
     6.090     2.053     4.094
     6.100     2.050     4.093
     6.110     2.043     4.095
     6.120     2.059     4.094
     6.130     2.040     4.095
     6.140     2.051     4.094
     6.150     2.044     4.094
     6.160     2.043     4.094
     6.170     4.095     4.095
     6.180     4.094     4.094
     6.190     4.095     4.094
     6.200     4.094     4.095
     6.210     4.094     4.094
     6.220     4.095     3.993
     6.230     4.094     4.094
     6.240     4.094     2.042
     6.250     4.094     2.056
     6.260     4.095     2.038
     6.270     4.095     2.060
     6.280     4.094     2.046
     6.290     4.095     2.044
     6.300     4.094     2.061
     6.310     4.094     2.045
     6.320     4.095     3.680
     6.330     4.094     3.958
     6.340     4.094     4.095
     6.350     4.094     4.095
     6.360     4.093     4.095
     6.370     4.084     4.094
     6.380     2.061     4.094
     6.390     2.042     4.094
     6.400     2.033     4.095
     6.410     2.052     4.095
     6.420     2.037     4.095
     6.430     2.043     4.095
     6.440     2.045     4.095
     6.450     2.039     4.095
     6.460     2.057     4.095
     6.470     2.038     4.094
     6.480     2.054     4.095
     6.490     2.049     4.094
     6.500     2.041     4.094
     6.510     2.055     4.094
     6.520     2.049     4.094
     6.530     2.030     4.094
     6.540     4.094     4.094
     6.550     4.004     4.094
     6.560     4.095     4.095
     6.570     4.094     4.083
     6.580     4.094     2.086
     6.590     4.093     4.095
     6.600     4.094     2.048
     6.610     4.094     2.035
     6.620     4.094     2.061
     6.630     4.094     2.043
     6.640     4.095     2.044
     6.650     4.094     2.050
     6.660     4.094     2.037
     6.670     4.094     2.056
     6.680     4.094     2.047
     6.690     4.094     2.046
     6.700     4.095     2.058
     6.710     4.094     2.042
     6.720     4.094     2.036
     6.730     4.094     4.095
     6.740     4.094     3.867
     6.750     4.094     4.094
     6.760     4.094     4.094
     6.770     4.094     4.095
     6.780     4.078     4.094
     6.790     2.035     4.095
     6.800     2.041     4.095
     6.810     2.057     4.094
     6.820     2.036     4.094
     6.830     2.057     4.095
     6.840     2.040     4.094
     6.850     2.045     4.095
     6.860     2.055     4.094
     6.870     2.038     4.095
     6.880     2.059     4.095
     6.890     2.042     4.093
     6.900     2.039     4.094
     6.910     2.062     4.095
     6.920     2.034     4.094
     6.930     4.095     4.095
     6.940     4.095     3.983
     6.950     4.094     3.785
     6.960     4.095     3.960
     6.970     4.095     2.042
     6.980     4.095     2.048
     6.990     4.095     2.052
     7.000     4.094     2.047
     7.010     4.095     2.039
     7.020     4.094     2.052
     7.030     4.094     2.043
     7.040     4.094     2.054
     7.050     4.094     2.044
     7.060     4.095     2.052
     7.070     4.094     2.059
     7.080     4.094     2.038
     7.090     4.094     2.054
     7.100     4.094     2.050
     7.110     4.094     2.040
     7.120     4.094     2.055
     7.130     4.093     2.046
     7.140     4.095     2.045
     7.150     4.094     2.052
     7.160     4.094     2.044
     7.170     4.095     2.040
     7.180     4.094     2.052
     7.190     4.094     2.044
* TT
