*ActiveDAQ HHS versie1.07
*Date 23-9-97 Time: 12:48:07
*Raw data, 12 bits
*Sample frequency 100 Hz
*AC 1100000000000000
*--------------------------------------------------------------------------------
*Legends for 2 channels
*  1=                 2=               
*--------------------------------------------------------------------------------
*Fifo enabled      [x]
*Overall gain used [x] 
*Input range 
*  1:+/-10V           2:+/-10V         
*--------------------------------------------------------------------------------
*TIME      ch. 1     ch. 2    
* -----------------------
     8.440     4.090     4.091
     8.450     4.090     4.090
     8.460     4.091     4.091
     8.470     4.091     4.091
     8.480     4.091     4.092
     8.490     4.090     4.092
     8.500     4.090     4.091
     8.510     4.091     4.091
     8.520     4.091     4.091
     8.530     4.091     4.091
     8.540     4.090     4.091
     8.550     4.090     4.091
     8.560     4.091     4.091
     8.570     4.090     4.090
     8.580     4.090     4.091
     8.590     4.090     4.091
     8.600     4.090     4.091
     8.610     4.090     4.091
     8.620     4.090     4.091
     8.630     4.090     4.091
     8.640     4.091     4.091
     8.650     4.090     4.091
     8.660     4.091     4.091
     8.670     4.090     4.091
     8.680     4.090     4.091
     8.690     4.091     4.091
     8.700     4.091     4.091
     8.710     4.090     4.090
     8.720     4.091     4.091
     8.730     4.090     4.091
     8.740     4.090     4.091
     8.750     4.091     4.091
     8.760     4.090     4.091
     8.770     4.090     4.092
     8.780     4.090     4.091
     8.790     4.090     4.091
     8.800     4.091     4.091
     8.810     4.090     4.091
     8.820     4.090     4.091
     8.830     4.090     4.091
     8.840     4.090     4.091
     8.850     4.091     4.091
     8.860     4.091     4.091
     8.870     4.090     4.091
     8.880     4.090     4.092
     8.890     4.090     4.091
     8.900     4.091     4.091
     8.910     4.090     4.091
     8.920     4.090     4.091
     8.930     4.091     4.091
     8.940     4.090     4.091
     8.950     4.090     4.091
     8.960     4.091     4.091
     8.970     4.090     4.091
     8.980     4.091     4.091
     8.990     4.090     4.091
     9.000     4.090     4.091
     9.010     4.091     4.091
     9.020     4.090     4.091
     9.030     4.090     4.091
     9.040     4.091     4.091
     9.050     4.091     4.091
     9.060     4.091     4.091
     9.070     4.090     4.091
     9.080     4.090     4.090
     9.090     4.090     4.090
     9.100     4.090     4.090
     9.110     4.090     4.091
     9.120     4.090     4.091
     9.130     4.090     4.091
     9.140     4.091     4.092
     9.150     4.091     4.091
     9.160     4.090     4.091
     9.170     4.090     4.091
     9.180     4.090     4.090
     9.190     4.090     4.091
     9.200     4.091     4.091
     9.210     4.090     4.090
     9.220     4.090     4.091
     9.230     4.090     4.091
     9.240     4.090     4.091
     9.250     4.091     4.091
     9.260     4.091     4.090
     9.270     4.091     4.091
     9.280     4.090     4.092
     9.290     4.090     4.091
     9.300     4.090     4.091
     9.310     4.091     4.091
     9.320     4.090     4.091
     9.330     4.091     4.091
     9.340     4.091     4.091
     9.350     4.091     4.091
     9.360     4.090     4.091
